state_name,county,city,city_ascii
Alaska,Bethel,Napakiak,Napakiak
Alaska,Bethel,Aniak,Aniak
Alaska,Bethel,Napaskiak,Napaskiak
Alaska,Bethel,Chefornak,Chefornak
Alaska,Bethel,Kipnuk,Kipnuk
Alaska,Bethel,Kwigillingok,Kwigillingok
Alaska,Bethel,Tununak,Tununak
Alaska,Bethel,Eek,Eek
Alaska,Bethel,Tuluksak,Tuluksak
Alaska,Bethel,Mekoryuk,Mekoryuk
Alaska,Bethel,Akiak,Akiak
Alaska,Bethel,Kongiganak,Kongiganak
Alaska,Bethel,Lower Kalskag,Lower Kalskag
Alaska,Bethel,Upper Kalskag,Upper Kalskag
Alaska,Bethel,Goodnews Bay,Goodnews Bay
Alaska,Bethel,Chuathbaluk,Chuathbaluk
Alaska,Bethel,Nightmute,Nightmute
Alaska,Bethel,Sleetmute,Sleetmute
Alaska,Bethel,Oscarville,Oscarville
Alaska,Bethel,Newtok,Newtok
Alaska,Bethel,Atmautluak,Atmautluak
Alaska,Bethel,Platinum,Platinum
Alaska,Bethel,Crooked Creek,Crooked Creek
